search_query,arxiv_id,arxiv_id_base,title,authors,published,updated,year,primary_category,categories,summary,comment,journal_ref,doi,abs_url,pdf_url,legacy_notebook_query,relevance_score,topic_class
"all:""quantum circuit"" AND all:""diffusion model""",2605.01367,2605.01367,From Characterization To Construction: Generative Quantum Circuit Synthesis from Gate Set Tomography Data,"King Yiu Yu, Aritra Sarkar, Erbing Hua, Maximilian Rimbach-Russ, Ryoichi Ishihara, Sebastian Feld",2026-05-02T10:25:10Z,2026-05-02T10:25:10Z,2026,quant-ph,"quant-ph, cs.LG, eess.SY","High-fidelity circuit execution on noisy intermediate-scale quantum devices is bottlenecked by compilation pipelines that disregard complex, correlated noise. To address this, this methodology article proposes a quantum machine learning control (QMLC) framework for generative quantum circuit synthesis from gate-set tomography (GST) data that bypasses the traditional two-step pipeline of characterizing native quantum gates via GST followed by unitary decomposition algorithms. Instead, a generative concept space is directly learnt from GST data, enabling conditional synthesis of quantum circuits on a desired output distribution. Our approach tokenizes GST germ circuits and embeds them into a structured latent space using a curriculum-learning-motivated strategy, starting with short circuits and progressively incorporating longer ones with diverse output statistics. The embedded sequences are processed by a set-vision transformer with permutation-invariant pooling, producing k-seed vectors that represent the learned concept space of the quantum device. Aggregating data across multiple circuits makes this latent representation inherently context-aware, capturing the shared physical noise environment (e.g., crosstalk, drift) that isolated gate metrics miss. We propose an unconditional diffusion model to sample from the concept space. During inference, a user provides a target measurement distribution, and the model generates a corresponding circuit. To ensure fidelity and robustness, the output is denoised using a diffusion model that operates on the target conditional covariance matrix. This end-to-end framework is a step towards context-aware, hardware-native circuit synthesis directly from raw GST data, which offers a new paradigm for integrating quantum control and compilation. The QMLC framework is particularly suited for near-term quantum devices with complex calibration procedures.",,,,https://arxiv.org/abs/2605.01367v1,https://arxiv.org/pdf/2605.01367v1,"all:""quantum circuit"" AND all:""diffusion model""",19,quantum circuit / QNN generative model
"all:""quantum"" AND all:""score matching"" AND all:""diffusion""",2604.21210,2604.21210,The Feedback Hamiltonian is the Score Function: A Diffusion-Model Framework for Quantum Trajectory Reversal,"Sagar Dubey, Alan John",2026-04-23T02:02:13Z,2026-04-23T02:02:13Z,2026,quant-ph,"quant-ph, cs.LG","In continuously monitored quantum systems, the feedback protocol of García-Pintos, Liu, and Gorshkov reshapes the arrow of time: a Hamiltonian $H_{\mathrm{meas}} = r A / τ$ applied with gain $X$ tilts the distribution of measurement trajectories, with $X < -2$ producing statistically time-reversed outcomes. Why this specific Hamiltonian achieves reversal, and how the mechanism relates to score-based diffusion models in machine learning, has remained unexplained. We compute the functional derivative of the log path probability of the quantum trajectory distribution directly in density-matrix space. Combining Girsanov's theorem applied to the measurement record, Fréchet differentiation on the Banach space of trace-class operators, and Kähler geometry on the pure-state projective manifold, we prove that $δ\log P_F / δρ= r A / τ= H_{\mathrm{meas}}$. The García-Pintos feedback Hamiltonian is the score function of the quantum trajectory distribution -- exactly the object Anderson's reverse-time diffusion theorem requires for trajectory reversal. The identification extends to multi-qubit systems with independent measurement channels, where the score is a sum of local operators. Two consequences follow. First, the feedback gain $X$ generates a continuous one-parameter family of path measures (for feedback-active Hamiltonians with $[H, A] \neq 0$), with $X = -2$ recovering the backward process in leading-order linearization -- a structure absent from classical diffusion, where reversal is binary. Second, the score identification enables machine learning (ML) score estimation methods -- denoising score matching, sliced score matching -- to replace the analytic formula when its idealizations (unit efficiency, zero delay, Gaussian noise) fail in real experiments.",,,,https://arxiv.org/abs/2604.21210v1,https://arxiv.org/pdf/2604.21210v1,"all:""quantum"" AND all:""score matching"" AND all:""diffusion""",23,score-based diffusion
"all:""quantum diffusion model""",2604.05612,2604.05612,Deuteron normalization and channel-dependent formation dynamics in pion and kaon color transparency,"Byung-Geel Yu, Kook-Jin Kong, Tae Keun Choi",2026-04-07T09:02:56Z,2026-04-09T15:44:56Z,2026,hep-ph,"hep-ph, nucl-th","A combined view of the Jefferson Lab data on nuclear transparency in $A(e,e'π^+)$ and $A(e,e'K^+)$ reveals two simple but nontrivial features of the onset of color transparency. First, normalization to deuterium does not play the same role in the two reactions. In pion electroproduction, the missing-mass selection suppresses the neutron-induced $Δ$ channel so strongly that the deuteron normalization becomes effectively proton dominated. In kaon electroproduction, the nearby hyperon channels cannot be removed in the same way, and the deuteron retains a genuine proton--neutron average. Second, the $Q^2$ dependence indicates different in-medium formation dynamics. The pion transparency is well reproduced by the standard quantum diffusion model with $ΔM_π^2 \simeq 0.7~\mathrm{GeV}^2$, whereas the kaon data favor a faster geometric expansion characterized by the scale $R_K \sim \sqrt{σ_{KN}/π}$ and are strongly underestimated by the same pion-like diffusion scale. These results suggest that the pion and kaon data already contain evidence that the onset of color transparency is reaction dependent both in normalization and in propagation through nuclear matter.",,,,https://arxiv.org/abs/2604.05612v2,https://arxiv.org/pdf/2604.05612v2,"all:""quantum diffusion model""",12,other / needs manual check
"all:""quantum generative model"" AND all:""diffusion""",2604.01197,2604.01197,Learning and Generating Mixed States Prepared by Shallow Channel Circuits,"Fangjun Hu, Christian Kokail, Milan Kornjača, Pedro L. S. Lopes, Weiyuan Gong, Sheng-Tao Wang, Xun Gao, Stefan Ostermann",2026-04-01T17:42:56Z,2026-06-15T18:22:34Z,2026,quant-ph,"quant-ph, cond-mat.stat-mech, cs.CC, cs.LG","Learning quantum states from measurement data is a central problem in quantum information and computational complexity. In this work, we study the problem of learning to generate mixed states on a finite-dimensional lattice. Motivated by recent developments in mixed state phases of matter, we focus on arbitrary states in the trivial phase. A state belongs to the trivial phase if there exists a shallow preparation channel circuit under which local reversibility is preserved throughout the preparation. We prove that any mixed state in this class can be efficiently learned from measurement access alone. Specifically, given copies of an unknown trivial phase mixed state, our algorithm outputs a shallow local channel circuit that approximately generates this state in trace distance. The sample complexity and runtime are polynomial (or quasi-polynomial) in the number of qubits, assuming constant (or polylogarithmic) circuit depth and gate locality. Importantly, the learner is not given the original preparation circuit and relies only on its existence. Our results provide a structural foundation for quantum generative models based on shallow channel circuits. In the classical limit, our framework also inspires an efficient algorithm for classical diffusion models using only a polynomial overhead of training and generation.",,,,https://arxiv.org/abs/2604.01197v4,https://arxiv.org/pdf/2604.01197v4,"all:""quantum generative model"" AND all:""diffusion""",22,quantum generative model
"all:""quantum diffusion model""",2603.06488,2603.06488,Score Reversal Is Not Free for Quantum Diffusion Models,Ammar Fayad,2026-03-06T17:16:17Z,2026-03-19T17:48:32Z,2026,quant-ph,"quant-ph, cs.LG, math-ph","Classical reverse diffusion is generated by changing the drift at fixed noise. We show that the quantum version of this principle obeys an exact law with a sharp phase boundary. For Gaussian pure-loss dynamics, the canonical model of continuous-variable decoherence, we prove that the unrestricted instantaneous reverse optimum exhibits a noiseless-to-noisy transition: below a critical squeezing-to-thermal ratio, reversal can be noiseless; above it, complete positivity forces irreducible reverse noise whose minimum cost we determine in closed form. The optimal reverse diffusion is uniquely covariance-aligned and simultaneously minimizes the geometric, metrological, and thermodynamic price of reversal. For multimode trajectories, the exact cost is additive in a canonical set of mode-resolved data, and a globally continuous protocol attains this optimum on every mixed-state interval. If a pure nonclassical endpoint is included, the same pointwise law holds for every $t>0$, but the optimum diverges as $2/t$: exact Gaussian reversal of a pure quantum state is dynamically unattainable. These results establish the exact Gaussian benchmark against which any broader theory of quantum reverse diffusion must be measured.",,,,https://arxiv.org/abs/2603.06488v3,https://arxiv.org/pdf/2603.06488v3,"all:""quantum diffusion model""",12,other / needs manual check
"all:""quantum denoising diffusion""",2603.02834,2603.02834,Identification of quantum generative circuits with parallel quantum neural network,"Zheping Wu, Xiaopeng Huang, Hengyue Jia, Haobin Shi, Wei-Wei Zhang",2026-03-03T10:31:04Z,2026-03-03T10:31:04Z,2026,quant-ph,quant-ph,"The rapid emergence of quantum technology has raised new challenges in distinguishing various quantum circuits of similar functions. In this work, we propose parallel quantum embedding neural network (ParaQuanNet) for the efficient identification of quantum generative circuits via classifications of the corresponding output data. Specifically, we generated W-like states with eight generative quantum circuits realizing the generative quantum denoising diffusion probabilistic models (QDDPM). Our ParaQuanNet can classify these eight classes of generated quantum data with an accuracy of {$99.5\%$}, even though all of them are trained to generate the same types of quantum data. With a novel design of parallel quantum embedding unit (PQEU) in our neural networks, our ParaQuanNet enables the quantum kernel circuit parallelly process all the receptive fields of quantum data, which empowers the quantum data processing efficiency. We also integrate the mutually unbiased measurements into our ParaQuanNet and further improve its performance. We apply our ParaQuanNet on the classification of classical data sets and demonstrate a good performance of quantum neural networks on these tasks. Our approach demonstrates good robustness to noisy data and the circuit-level noise with a Python realization in a classical GPU. Our results highlight ParaQuanNet as a scalable and effective framework for quantum circuits identification, contributing to the broader development of quantum machine intelligence.",,https://journal.hep.com.cn/fop/EN/10.15302/frontphys.2026.113201,10.15302/frontphys.2026.113201,https://arxiv.org/abs/2603.02834v1,https://arxiv.org/pdf/2603.02834v1,"all:""quantum denoising diffusion""",34,DDPM / denoising diffusion
"all:""quantum diffusion model""",2602.22061,2602.22061,Learning Quantum Data Distribution via Chaotic Quantum Diffusion Model,"Quoc Hoan Tran, Koki Chinzei, Yasuhiro Endo, Hirotaka Oshima",2026-02-25T16:09:50Z,2026-03-01T07:27:23Z,2026,quant-ph,"quant-ph, cs.LG, nlin.CD","Generative models for quantum data pose significant challenges but hold immense potential in fields such as chemoinformatics and quantum physics. Quantum denoising diffusion probabilistic models (QuDDPMs) enable efficient learning of quantum data distributions by progressively scrambling and denoising quantum states; however, existing implementations typically rely on circuit-based random unitary dynamics that can be costly to realize and sensitive to control imperfections, particularly on analog quantum hardware. We propose the chaotic quantum diffusion model, a framework that generates projected ensembles via chaotic Hamiltonian time evolution, providing a flexible and hardware-compatible diffusion mechanism. Requiring only global, time-independent control, our approach substantially reduces implementation overhead across diverse analog quantum platforms while achieving accuracy comparable to QuDDPMs. This method improves trainability and robustness, broadening the applicability of quantum generative modeling.",,,,https://arxiv.org/abs/2602.22061v2,https://arxiv.org/pdf/2602.22061v2,"all:""quantum diffusion model""",37,DDPM / denoising diffusion
"all:""quantum diffusion model""",2602.03405,2602.03405,Enhancing Quantum Diffusion Models for Complex Image Generation,"Jeongbin Jo, Santanam Wishal, Shah Md Khalil Ullah, Shan Zeng, Dikshant Dulal",2026-02-03T11:32:19Z,2026-02-05T16:55:22Z,2026,quant-ph,"quant-ph, cs.LG","Quantum generative models offer a novel approach to exploring high-dimensional Hilbert spaces but face significant challenges in scalability and expressibility when applied to multi-modal distributions. In this study, we explore a Hybrid Quantum-Classical U-Net architecture integrated with Adaptive Non-Local Observables (ANO) as a potential solution to these hurdles. By compressing classical data into a dense quantum latent space and utilizing trainable observables, our model aims to extract non-local features that complement classical processing. We also investigate the role of Skip Connections in preserving semantic information during the reverse diffusion process. Experimental results on the full MNIST dataset (digits 0-9) demonstrate that the proposed architecture is capable of generating structurally coherent and recognizable images for all digit classes. While hardware constraints still impose limitations on resolution, our findings suggest that hybrid architectures with adaptive measurements provide a feasible pathway for mitigating mode collapse and enhancing generative capabilities in the NISQ era.",,,,https://arxiv.org/abs/2602.03405v2,https://arxiv.org/pdf/2602.03405v2,"all:""quantum diffusion model""",22,quantum generative model
"all:""quantum denoising diffusion""",2601.22005,2601.22005,Hierarchy of discriminative power and complexity in learning quantum ensembles,"Jian Yao, Pengtao Li, Xiaohui Chen, Quntao Zhuang",2026-01-29T17:13:48Z,2026-01-29T17:13:48Z,2026,quant-ph,"quant-ph, math.ST, stat.ML","Distance metrics are central to machine learning, yet distances between ensembles of quantum states remain poorly understood due to fundamental quantum measurement constraints. We introduce a hierarchy of integral probability metrics, termed MMD-$k$, which generalizes the maximum mean discrepancy to quantum ensembles and exhibit a strict trade-off between discriminative power and statistical efficiency as the moment order $k$ increases. For pure-state ensembles of size $N$, estimating MMD-$k$ using experimentally feasible SWAP-test-based estimators requires $Θ(N^{2-2/k})$ samples for constant $k$, and $Θ(N^3)$ samples to achieve full discriminative power at $k = N$. In contrast, the quantum Wasserstein distance attains full discriminative power with $Θ(N^2 \log N)$ samples. These results provide principled guidance for the design of loss functions in quantum machine learning, which we illustrate in the training quantum denoising diffusion probabilistic models.",,,,https://arxiv.org/abs/2601.22005v1,https://arxiv.org/pdf/2601.22005v1,"all:""quantum denoising diffusion""",25,DDPM / denoising diffusion
"all:""quantum diffusion model""",2512.20448,2512.20448,Enriching Earth Observation labeled data with Quantum Conditioned Diffusion Models,"Francesco Mauro, Francesca De Falco, Lorenzo Papa, Andrea Ceschini, Alessandro Sebastianelli, Paolo Gamba, Massimo Panella, Silvia Ullo",2025-12-23T15:40:31Z,2025-12-23T15:40:31Z,2025,quant-ph,quant-ph,"The rapid adoption of diffusion models (DMs) in the Earth Observation (EO) domain has unlocked new generative capabilities aimed at producing new samples, whose statistical properties closely match real imagery, for tasks such as synthesizing missing data, augmenting scarce labeled datasets, and improving image reconstruction. This is particularly relevant in EO, where labeled data are often costly to obtain and limited in availability. However, classical DMs still face significant computational limitations, requiring hundreds to thousands of inference steps, as well as difficulties in capturing the intricate spatial and spectral correlations characteristic of EO data. Recent research in Quantum Machine Learning (QML), including initial attempts of Quantum Generative Models, offers a fundamentally different approach to overcome these challenges. Motivated by these considerations, we introduce the Quanvolutional Conditioned U-Net (QCU-Net), a hybrid quantum--classical architecture that applies quantum operations within a conditioned diffusion framework using a novel quanvolutional feature-extraction approach, for generating synthetic labeled EO imagery. Extensive experiments on the EuroSAT RGB dataset demonstrate that our QCU-Net achieves superior results. Notably, it reduces the Fréchet Inception Distance by 64%, lowers the Kernel Inception Distance by 76%, and yields higher semantic accuracy. Ablation studies further reveal that strategically positioning quantum layers and employing entangling variational circuits enhance model performance and convergence. This work represents the first successful adaptation of class-conditioned quantum diffusion modeling in the EO domain, paving the way for quantum-enhanced remote sensing imagery synthesis.",,,,https://arxiv.org/abs/2512.20448v1,https://arxiv.org/pdf/2512.20448v1,"all:""quantum diffusion model""",26,quantum generative model
"all:""quantum"" AND all:""score matching"" AND all:""diffusion""",2512.19877,2512.19877,Spectral Diffusion for Sampling on ${\rm SU}(N)$,"Gurtej Kanwar, Octavio Vega",2025-12-22T21:03:47Z,2025-12-22T21:03:47Z,2025,hep-lat,hep-lat,"Although ensemble generation remains a central challenge in lattice field theory simulations, recent advances in generative modeling may offer a path to accelerated sampling in these contexts. In this work, we implement a framework for efficiently training diffusion models acting on ${\rm SU}(N)$ degrees of freedom, adapting the traditional score matching technique to the group manifold. We demonstrate that our models can effectively reproduce several target densities, resulting in precise unbiased expectation values. These results mark a step for diffusion models towards modeling full ${\rm SU}(N)$ lattice field theories, including lattice Quantum Chromodynamics.",,,,https://arxiv.org/abs/2512.19877v1,https://arxiv.org/pdf/2512.19877v1,"all:""quantum"" AND all:""score matching"" AND all:""diffusion""",17,score-based diffusion
"all:""quantum diffusion model""",2512.06695,2512.06695,Mitigating Barren Plateaus in Quantum Denoising Diffusion Probabilistic Model,"Haipeng Cao, Kaining Zhang, Dacheng Tao, Zhaofeng Su",2025-12-07T07:01:44Z,2026-04-15T07:37:03Z,2025,cs.LG,"cs.LG, quant-ph","Quantum generative models exploit quantum superposition and entanglement to enhance learning efficiency for both classical and quantum data. Recently, inspired by classical diffusion frameworks, the quantum denoising diffusion probabilistic model (QuDDPM) has emerged as a powerful tool for learning correlated noise models, many-body phases, and topological data structure. However, we demonstrate that QuDDPM's efficacy is currently restricted to small-scale systems (typically $\le$ 5 qubits). As the system size increases, a severe barren plateau (BP) problem emerges, fundamentally limiting the model's scalability. We provide rigorous theoretical proofs and experimental validation to identify the origin of this BP, distinct from previously known causes. To restore trainability, we introduce an architectureal enhancement that mitigates the BP and ensures training stability. Furthermore, we propose a conditional QuDDPM, capable of generating ground states based on Hamiltonian parameters, significantly expanding the utility of quantum generative models for complex quantum state preparation. Our approach not only restores the scalability and trainability bottlenecks of quantum diffusion models but also provides a robust tool for exploring complex quantum matter and state preparation in the NISQ era.",,,,https://arxiv.org/abs/2512.06695v2,https://arxiv.org/pdf/2512.06695v2,"all:""quantum diffusion model""",37,DDPM / denoising diffusion
"all:""quantum generative model"" AND all:""diffusion""",2511.15919,2511.15919,Stochastic Schrödinger Equations for Quantum Reverse Diffusion,Einar Gabbassov,2025-11-19T22:57:38Z,2026-06-03T03:52:59Z,2025,quant-ph,"quant-ph, math-ph","The ensemble-averaged dynamics of open quantum systems are typically irreversible. We show that this irreversibility need not hold at the level of individually monitored quantum trajectories. Our main results are analytical stochastic Schrödinger equations for quantum reverse diffusion, along with corresponding stochastic master equations. These equations describe the exact and approximate stochastic reverse processes for continuously monitored Pauli channels, including time-dependent depolarizing noise. We show that the reverse processes generalize the forward dynamics by combining the noise effects of the forward processes with an additional stochastic drift that dynamically steers a quantum state back to its initial configuration. Consequently, the exact reverse stochastic Schrödinger equations admit closed-form solutions that can be implemented in real-time without the need for variational techniques. Our findings establish an analytical framework for quantum state recovery, noise-resilient quantum gates, quantum generative modelling, quantum tomography via forward-reverse cycles, and potential paradigms for quantum error correction based on reverse diffusion.",,"Phys. Rev. Research 8, 023329 (2026)",10.1103/f7fd-2rb9,https://arxiv.org/abs/2511.15919v5,https://arxiv.org/pdf/2511.15919v5,"all:""quantum generative model"" AND all:""diffusion""",14,quantum generative model
"all:""quantum diffusion model""",2511.12221,2511.12221,Channel-Constrained Markovian Quantum Diffusion Model from Open System Perspective,"Qin-Sheng Zhu, Geng Chen, Lian-Hui Yu, Xiaodong Xing, Xiao-Yu Li",2025-11-15T13:52:15Z,2025-11-15T13:52:15Z,2025,quant-ph,quant-ph,"We present a channel-constrained Markovian quantum diffusion (CCMQD) model that prepares quantum states by rigorously framing the generative process within the dynamics of open quantum systems. Our model interprets the forward diffusion process as natural decoherence using quantum master equations, whereas the reverse denoising is achieved by learning inverse quantum channels. Our core innovation is a comprehensive channel-constrained framework: we model the diffusion and denoising steps as quantum channels defined by Kraus operators, ensure their physical validity through optimization on the Stiefel manifold, and introduce tailored training strategies and loss functions that leverage this constrained structure for high-fidelity state reconstruction. Experimental validation on systems ranging from single qubits to entangled states $7$ -qubits demonstrates high-fidelity state generation, achieving fidelities exceeding $0.998$ under both random and depolarizing noise conditions. This work confirms that quantum diffusion can be characterized as a controlled Markov evolution, demonstrating that environmental interactions are not limited to being a source of decoherence but can also be utilized to achieve high-fidelity quantum state synthesis.",,,,https://arxiv.org/abs/2511.12221v1,https://arxiv.org/pdf/2511.12221v1,"all:""quantum diffusion model""",14,other / needs manual check
"all:""quantum denoising diffusion""",2509.17569,2509.17569,Conditioning in Generative Quantum Denoising Diffusion Models,"Daniel Quinn, Lorenzo Buffoni, Stefano Gherardini, Gabriele De Chiara",2025-09-22T11:01:03Z,2025-09-22T11:01:03Z,2025,quant-ph,quant-ph,"Quantum denoising diffusion models have recently emerged as a powerful framework for generative quantum machine learning. In this work, we extend these models by introducing a conditioning mechanism that enables the generation of quantum states drawn from multiple target distributions. By sharing parameters across distinct classes of quantum states, our approach avoids the need to train separate models for each distribution. We validate our method through numerical simulations that span single-qubit generation tasks, entangled state preparation, and many-body ground state generation. Across these tasks, conditioning significantly reduced the error of targeted state generation by up to an order of magnitude. Finally, we perform an ablation study to quantify the effect of key hyperparameters on the model performance.",,,,https://arxiv.org/abs/2509.17569v1,https://arxiv.org/pdf/2509.17569v1,"all:""quantum denoising diffusion""",23,DDPM / denoising diffusion
"all:""variational quantum"" AND all:""diffusion model""",2509.17324,2509.17324,DiffQ: Unified Parameter Initialization for Variational Quantum Algorithms via Diffusion Models,"Chi Zhang, Mengxin Zheng, Qian Lou, Fan Chen",2025-09-22T02:58:25Z,2025-09-22T02:58:25Z,2025,cs.ET,"cs.ET, cs.LG, quant-ph","Variational Quantum Algorithms (VQAs) are widely used in the noisy intermediate-scale quantum (NISQ) era, but their trainability and performance depend critically on initialization parameters that shape the optimization landscape. Existing machine learning-based initializers achieve state-of-the-art results yet remain constrained to single-task domains and small datasets of only hundreds of samples. We address these limitations by reformulating VQA parameter initialization as a generative modeling problem and introducing DiffQ, a parameter initializer based on the Denoising Diffusion Probabilistic Model (DDPM). To support robust training and evaluation, we construct a dataset of 15,085 instances spanning three domains and five representative tasks. Experiments demonstrate that DiffQ surpasses baselines, reducing initial loss by up to 8.95 and convergence steps by up to 23.4%.",,,,https://arxiv.org/abs/2509.17324v1,https://arxiv.org/pdf/2509.17324v1,"all:""variational quantum"" AND all:""diffusion model""",36,DDPM / denoising diffusion
"all:""quantum circuit"" AND all:""diffusion model""",2509.14163,2509.14163,Quantum Reinforcement Learning-Guided Diffusion Model for Image Synthesis via Hybrid Quantum-Classical Generative Model Architectures,"Chi-Sheng Chen, En-Jui Kuo",2025-09-17T16:47:04Z,2025-09-17T16:47:04Z,2025,quant-ph,"quant-ph, cs.LG","Diffusion models typically employ static or heuristic classifier-free guidance (CFG) schedules, which often fail to adapt across timesteps and noise conditions. In this work, we introduce a quantum reinforcement learning (QRL) controller that dynamically adjusts CFG at each denoising step. The controller adopts a hybrid quantum--classical actor--critic architecture: a shallow variational quantum circuit (VQC) with ring entanglement generates policy features, which are mapped by a compact multilayer perceptron (MLP) into Gaussian actions over $Δ$CFG, while a classical critic estimates value functions. The policy is optimized using Proximal Policy Optimization (PPO) with Generalized Advantage Estimation (GAE), guided by a reward that balances classification confidence, perceptual improvement, and action regularization. Experiments on CIFAR-10 demonstrate that our QRL policy improves perceptual quality (LPIPS, PSNR, SSIM) while reducing parameter count compared to classical RL actors and fixed schedules. Ablation studies on qubit number and circuit depth reveal trade-offs between accuracy and efficiency, and extended evaluations confirm robust generation under long diffusion schedules.",,,,https://arxiv.org/abs/2509.14163v1,https://arxiv.org/pdf/2509.14163v1,"all:""quantum circuit"" AND all:""diffusion model""",22,quantum circuit / QNN generative model
"all:""quantum diffusion model""",2508.09903,2508.09903,Hybrid Quantum-Classical Latent Diffusion Models for Medical Image Generation,"Kübra Yeter-Aydeniz, Nora M. Bauer, Pranay Jain, Max Masnick",2025-08-13T16:01:20Z,2025-08-13T16:01:20Z,2025,quant-ph,quant-ph,"Generative learning models in medical research are crucial in developing training data for deep learning models and advancing diagnostic tools, but the problem of high-quality, diverse images is an open topic of research. Quantum-enhanced generative models have been proposed and tested in the literature but have been restricted to small problems below the scale of industry relevance. In this paper, we propose quantum-enhanced diffusion and variational autoencoder (VAE) models and test them on the fundus retinal image generation task. In our numerical experiments, the images generated using quantum-enhanced models are of higher quality, with 86% classified as gradable by external validation compared to 69% with the classical model, and they match more closely in features to the real image distribution compared to the ones generated using classical diffusion models, even when the classical diffusion models are larger than the quantum model. Additionally, we perform noisy testing to confirm the numerical experiments, finding that quantum-enhanced diffusion model can sometimes produce higher quality images, both in terms of diversity and fidelity, when tested with quantum hardware noise. Our results indicate that quantum diffusion models on current quantum hardware are strong targets for further research on quantum utility in generative modeling for industrially relevant problems.",,,,https://arxiv.org/abs/2508.09903v1,https://arxiv.org/pdf/2508.09903v1,"all:""quantum diffusion model""",16,other / needs manual check
"all:""quantum diffusion model""",2508.08799,2508.08799,Measurement-Based Quantum Diffusion Models,"Xinyu Liu, Jingze Zhuang, Wanda Hou, Yi-Zhuang You",2025-08-12T09:55:50Z,2026-05-09T19:53:51Z,2025,quant-ph,"quant-ph, cond-mat.dis-nn, cond-mat.stat-mech","We introduce measurement-based quantum diffusion models that bridge classical and quantum diffusion theory through randomized weak measurements. The measurement-based approach naturally generates stochastic quantum trajectories while preserving purity at the trajectory level and inducing depolarization at the ensemble level. We address two quantum state generation problems: trajectory-level recovery of pure state ensembles and ensemble-average recovery of mixed states. For trajectory-level recovery, we establish that quantum score matching is mathematically equivalent to learning unitary generators for the reverse process. For ensemble-average recovery, we introduce local Petz recovery maps for states with finite correlation length and classical shadow reconstruction for general states, both with rigorous error bounds. Our framework establishes Petz recovery maps as quantum generalizations of reverse Fokker-Planck equations, providing a rigorous bridge between quantum recovery channels and classical stochastic reversals. This work enables new approaches to quantum state generation with potential applications in quantum information science.",,,,https://arxiv.org/abs/2508.08799v4,https://arxiv.org/pdf/2508.08799v4,"all:""quantum diffusion model""",17,score-based diffusion
"all:""quantum"" AND all:""Schrödinger bridge"" AND all:""diffusion""",2508.08511,2508.08511,Control-affine Schrödinger Bridge and Generalized Bohm Potential,"Alexis M. H. Teter, Abhishek Halder, Michael D. Schneider, Alexx S. Perloff, Jane Pratt, Conor M. Artman, Maria Demireva",2025-08-11T22:41:41Z,2025-11-12T17:30:54Z,2025,math.OC,"math.OC, eess.SY, math-ph, math.PR","The control-affine Schrödinger bridge concerns with a stochastic optimal control problem. Its solution is a controlled evolution of joint state probability density subject to a control-affine Itô diffusion with a given deadline connecting a given pair of initial and terminal densities. In this work, we recast the necessary conditions of optimality for the control-affine Schrödinger bridge problem as a two point boundary value problem for a quantum mechanical Schrödinger PDE with complex potential. This complex-valued potential is a generalization of the real-valued Bohm potential in quantum mechanics. Our derived potential is akin to the optical potential in nuclear physics where the real part of the potential encodes elastic scattering (transmission of wave function), and the imaginary part encodes inelastic scattering (absorption of wave function). The key takeaway is that the process noise that drives the evolution of probability densities induces an absorbing medium in the evolution of wave function. These results make new connections between control theory and non-equilibrium statistical mechanics through the lens of quantum mechanics.",,,,https://arxiv.org/abs/2508.08511v2,https://arxiv.org/pdf/2508.08511v2,"all:""quantum"" AND all:""Schrödinger bridge"" AND all:""diffusion""",10,Schrödinger bridge
"all:""quantum diffusion model""",2506.22755,2506.22755,Scaling Laws of Quantum Information Lifetime in Monitored Quantum Dynamics,"Bingzhi Zhang, Fangjun Hu, Runzhe Mo, Tianyang Chen, Hakan E. Türeci, Quntao Zhuang",2025-06-28T05:01:21Z,2026-04-02T22:50:47Z,2025,quant-ph,"quant-ph, cond-mat.dis-nn, cond-mat.stat-mech","Quantum information is typically fragile under measurements and environmental coupling. Remarkably, we find that its lifetime can scale exponentially with system size when the environment is continuously monitored via mid-circuit measurements -- regardless of bath size. Starting from a maximally entangled state with a reference, we analytically prove this exponential scaling for typical Haar random unitaries and confirm it through numerical simulations in both random unitary circuits and chaotic Hamiltonian systems. In the absence of bath monitoring, the lifetime exhibits a markedly different scaling: it grows at most linearly -- or remains constant -- with system size and decays inversely with the bath size. We further extend our findings numerically to a broad class of initial states. In the intermediate regime of partial monitoring, we identify and prove a two-scale transition, where the QMI decays logarithmically at microscopic time scales but linearly at macroscopic time scales.} We discuss implications for {monitored quantum circuits in the weak measurement limit, quantum algorithms such as quantum diffusion models and quantum reservoir computing, and quantum communication. Finally, we experimentally verify the gap of persisted information on IBM Quantum hardwares.",,"Phys. Rev. X 16, 021027 (2026)",10.1103/7717-1mw2,https://arxiv.org/abs/2506.22755v2,https://arxiv.org/pdf/2506.22755v2,"all:""quantum diffusion model""",15,quantum circuit / QNN generative model
