duplicate_group_id,record_id,kept_record_id,database_scope,doi_normalized,title_normalized
D00006,2026-07-09T184559Z_780688a_R007375,2026-07-09T184559Z_780688a_R007375,Legacy arXiv notebook,,enhancing quantum diffusion models for complex image generation
D00007,2026-07-09T184559Z_780688a_R000007,2026-07-09T184559Z_780688a_R000380,arXiv,,enriching earth observation labeled data with quantum conditioned diffusion models
D00007,2026-07-09T184559Z_780688a_R000036,2026-07-09T184559Z_780688a_R000380,arXiv,,enriching earth observation labeled data with quantum conditioned diffusion models
D00007,2026-07-09T184559Z_780688a_R000073,2026-07-09T184559Z_780688a_R000380,arXiv,,enriching earth observation labeled data with quantum conditioned diffusion models
D00007,2026-07-09T184559Z_780688a_R000084,2026-07-09T184559Z_780688a_R000380,arXiv,,enriching earth observation labeled data with quantum conditioned diffusion models
D00007,2026-07-09T184559Z_780688a_R000126,2026-07-09T184559Z_780688a_R000380,arXiv,,enriching earth observation labeled data with quantum conditioned diffusion models
D00007,2026-07-09T184559Z_780688a_R000380,2026-07-09T184559Z_780688a_R000380,IEEE,10.1109/tgrs.2026.3661445,enriching earth observation labeled data with quantum conditioned diffusion models
D00007,2026-07-09T184559Z_780688a_R003531,2026-07-09T184559Z_780688a_R000380,IEEE,10.1109/tgrs.2026.3661445,enriching earth observation labeled data with quantum conditioned diffusion models
D00007,2026-07-09T184559Z_780688a_R003706,2026-07-09T184559Z_780688a_R000380,IEEE,10.1109/tgrs.2026.3661445,enriching earth observation labeled data with quantum conditioned diffusion models
D00007,2026-07-09T184559Z_780688a_R007368,2026-07-09T184559Z_780688a_R000380,Legacy arXiv notebook,,enriching earth observation labeled data with quantum conditioned diffusion models
D00008,2026-07-09T184559Z_780688a_R000008,2026-07-09T184559Z_780688a_R007357,arXiv,,mitigating barren plateaus in quantum denoising diffusion probabilistic model
D00008,2026-07-09T184559Z_780688a_R000037,2026-07-09T184559Z_780688a_R007357,arXiv,,mitigating barren plateaus in quantum denoising diffusion probabilistic model
D00008,2026-07-09T184559Z_780688a_R000063,2026-07-09T184559Z_780688a_R007357,arXiv,,mitigating barren plateaus in quantum denoising diffusion probabilistic model
D00008,2026-07-09T184559Z_780688a_R000074,2026-07-09T184559Z_780688a_R007357,arXiv,,mitigating barren plateaus in quantum denoising diffusion probabilistic model
D00008,2026-07-09T184559Z_780688a_R000085,2026-07-09T184559Z_780688a_R007357,arXiv,,mitigating barren plateaus in quantum denoising diffusion probabilistic model
D00008,2026-07-09T184559Z_780688a_R000138,2026-07-09T184559Z_780688a_R007357,arXiv,,mitigating barren plateaus in quantum denoising diffusion probabilistic model
D00008,2026-07-09T184559Z_780688a_R007357,2026-07-09T184559Z_780688a_R007357,Legacy arXiv notebook,,mitigating barren plateaus in quantum denoising diffusion probabilistic model
D00009,2026-07-09T184559Z_780688a_R000009,2026-07-09T184559Z_780688a_R007407,arXiv,,channel constrained markovian quantum diffusion model from open system perspective
D00009,2026-07-09T184559Z_780688a_R000038,2026-07-09T184559Z_780688a_R007407,arXiv,,channel constrained markovian quantum diffusion model from open system perspective
D00009,2026-07-09T184559Z_780688a_R007407,2026-07-09T184559Z_780688a_R007407,Legacy arXiv notebook,,channel constrained markovian quantum diffusion model from open system perspective
D00010,2026-07-09T184559Z_780688a_R000010,2026-07-09T184559Z_780688a_R000170,arXiv,,hybrid quantum classical latent diffusion models for medical image generation
D00010,2026-07-09T184559Z_780688a_R000039,2026-07-09T184559Z_780688a_R000170,arXiv,,hybrid quantum classical latent diffusion models for medical image generation
D00010,2026-07-09T184559Z_780688a_R000170,2026-07-09T184559Z_780688a_R000170,IEEE,10.1109/qce65121.2025.10364,hybrid quantum classical latent diffusion models for medical image generation
D00010,2026-07-09T184559Z_780688a_R000359,2026-07-09T184559Z_780688a_R000170,IEEE,10.1109/qce65121.2025.10364,hybrid quantum classical latent diffusion models for medical image generation
D00010,2026-07-09T184559Z_780688a_R001800,2026-07-09T184559Z_780688a_R000170,IEEE,10.1109/qce65121.2025.10364,hybrid quantum classical latent diffusion models for medical image generation
D00010,2026-07-09T184559Z_780688a_R002125,2026-07-09T184559Z_780688a_R000170,IEEE,10.1109/qce65121.2025.10364,hybrid quantum classical latent diffusion models for medical image generation
D00010,2026-07-09T184559Z_780688a_R003204,2026-07-09T184559Z_780688a_R000170,IEEE,10.1109/qce65121.2025.10364,hybrid quantum classical latent diffusion models for medical image generation
D00010,2026-07-09T184559Z_780688a_R003405,2026-07-09T184559Z_780688a_R000170,IEEE,10.1109/qce65121.2025.10364,hybrid quantum classical latent diffusion models for medical image generation
D00010,2026-07-09T184559Z_780688a_R003572,2026-07-09T184559Z_780688a_R000170,IEEE,10.1109/qce65121.2025.10364,hybrid quantum classical latent diffusion models for medical image generation
D00010,2026-07-09T184559Z_780688a_R007401,2026-07-09T184559Z_780688a_R000170,Legacy arXiv notebook,,hybrid quantum classical latent diffusion models for medical image generation
D00011,2026-07-09T184559Z_780688a_R000011,2026-07-09T184559Z_780688a_R007399,arXiv,,measurement based quantum diffusion models
D00011,2026-07-09T184559Z_780688a_R000040,2026-07-09T184559Z_780688a_R007399,arXiv,,measurement based quantum diffusion models
D00011,2026-07-09T184559Z_780688a_R000151,2026-07-09T184559Z_780688a_R007399,arXiv,,measurement based quantum diffusion models
D00011,2026-07-09T184559Z_780688a_R007399,2026-07-09T184559Z_780688a_R007399,Legacy arXiv notebook,,measurement based quantum diffusion models
D00012,2026-07-09T184559Z_780688a_R000012,2026-07-09T184559Z_780688a_R007403,arXiv,10.1103/7717-1mw2,scaling laws of quantum information lifetime in monitored quantum dynamics
D00012,2026-07-09T184559Z_780688a_R000041,2026-07-09T184559Z_780688a_R007403,arXiv,10.1103/7717-1mw2,scaling laws of quantum information lifetime in monitored quantum dynamics
D00012,2026-07-09T184559Z_780688a_R000096,2026-07-09T184559Z_780688a_R007403,arXiv,10.1103/7717-1mw2,scaling laws of quantum information lifetime in monitored quantum dynamics
D00012,2026-07-09T184559Z_780688a_R007403,2026-07-09T184559Z_780688a_R007403,Legacy arXiv notebook,10.1103/7717-1mw2,scaling laws of quantum information lifetime in monitored quantum dynamics
D00013,2026-07-09T184559Z_780688a_R000013,2026-07-09T184559Z_780688a_R007383,arXiv,,continuous variable quantum diffusion model for state generation and restoration
D00013,2026-07-09T184559Z_780688a_R000042,2026-07-09T184559Z_780688a_R007383,arXiv,,continuous variable quantum diffusion model for state generation and restoration
D00013,2026-07-09T184559Z_780688a_R000113,2026-07-09T184559Z_780688a_R007383,arXiv,,continuous variable quantum diffusion model for state generation and restoration
D00013,2026-07-09T184559Z_780688a_R007383,2026-07-09T184559Z_780688a_R007383,Legacy arXiv notebook,,continuous variable quantum diffusion model for state generation and restoration
D00014,2026-07-09T184559Z_780688a_R000014,2026-07-09T184559Z_780688a_R007411,arXiv,10.1088/1674-1137/ae6b20,naive parton picture for kaon color transparency in a e e k
D00014,2026-07-09T184559Z_780688a_R000043,2026-07-09T184559Z_780688a_R007411,arXiv,10.1088/1674-1137/ae6b20,naive parton picture for kaon color transparency in a e e k
D00014,2026-07-09T184559Z_780688a_R007411,2026-07-09T184559Z_780688a_R007411,Legacy arXiv notebook,10.1088/1674-1137/ae6b20,naive parton picture for kaon color transparency in a e e k
D00015,2026-07-09T184559Z_780688a_R000015,2026-07-09T184559Z_780688a_R007394,arXiv,,physics inspired generative ai models via real hardware based noisy quantum diffusion
D00015,2026-07-09T184559Z_780688a_R000044,2026-07-09T184559Z_780688a_R007394,arXiv,,physics inspired generative ai models via real hardware based noisy quantum diffusion
D00015,2026-07-09T184559Z_780688a_R007394,2026-07-09T184559Z_780688a_R007394,Legacy arXiv notebook,,physics inspired generative ai models via real hardware based noisy quantum diffusion
D00016,2026-07-09T184559Z_780688a_R000016,2026-07-09T184559Z_780688a_R007395,arXiv,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R000045,2026-07-09T184559Z_780688a_R007395,arXiv,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R003761,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R003957,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R004172,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R005197,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R005367,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R005650,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R006032,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R006210,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R006468,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R006781,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R006990,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R007171,2026-07-09T184559Z_780688a_R007395,Springer,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00016,2026-07-09T184559Z_780688a_R007395,2026-07-09T184559Z_780688a_R007395,Legacy arXiv notebook,10.1007/s42484-024-00224-6,quantum latent diffusion models
D00017,2026-07-09T184559Z_780688a_R000017,2026-07-09T184559Z_780688a_R007396,arXiv,,quantum diffusion model for quark and gluon jet generation
D00017,2026-07-09T184559Z_780688a_R000046,2026-07-09T184559Z_780688a_R007396,arXiv,,quantum diffusion model for quark and gluon jet generation
D00017,2026-07-09T184559Z_780688a_R000104,2026-07-09T184559Z_780688a_R007396,arXiv,,quantum diffusion model for quark and gluon jet generation
D00017,2026-07-09T184559Z_780688a_R000120,2026-07-09T184559Z_780688a_R007396,arXiv,,quantum diffusion model for quark and gluon jet generation
D00017,2026-07-09T184559Z_780688a_R007396,2026-07-09T184559Z_780688a_R007396,Legacy arXiv notebook,,quantum diffusion model for quark and gluon jet generation
D00018,2026-07-09T184559Z_780688a_R000018,2026-07-09T184559Z_780688a_R003988,arXiv,,enhancing quantum diffusion models with pairwise bell state entanglement
D00018,2026-07-09T184559Z_780688a_R000047,2026-07-09T184559Z_780688a_R003988,arXiv,,enhancing quantum diffusion models with pairwise bell state entanglement
D00018,2026-07-09T184559Z_780688a_R000105,2026-07-09T184559Z_780688a_R003988,arXiv,,enhancing quantum diffusion models with pairwise bell state entanglement
D00018,2026-07-09T184559Z_780688a_R003988,2026-07-09T184559Z_780688a_R003988,Springer,10.1007/978-3-031-78395-1_23,enhancing quantum diffusion models with pairwise bell state entanglement
D00018,2026-07-09T184559Z_780688a_R007302,2026-07-09T184559Z_780688a_R003988,Springer,10.1007/978-3-031-78395-1_23,enhancing quantum diffusion models with pairwise bell state entanglement
D00018,2026-07-09T184559Z_780688a_R007382,2026-07-09T184559Z_780688a_R003988,Legacy arXiv notebook,,enhancing quantum diffusion models with pairwise bell state entanglement
D00019,2026-07-09T184559Z_780688a_R000019,2026-07-09T184559Z_780688a_R000230,arXiv,,quantum diffusion models for few shot learning
D00019,2026-07-09T184559Z_780688a_R000048,2026-07-09T184559Z_780688a_R000230,arXiv,,quantum diffusion models for few shot learning
D00019,2026-07-09T184559Z_780688a_R000106,2026-07-09T184559Z_780688a_R000230,arXiv,,quantum diffusion models for few shot learning
D00019,2026-07-09T184559Z_780688a_R000130,2026-07-09T184559Z_780688a_R000230,arXiv,,quantum diffusion models for few shot learning
D00019,2026-07-09T184559Z_780688a_R000230,2026-07-09T184559Z_780688a_R000230,IEEE,10.1109/icad65464.2025.11114033,quantum diffusion models for few shot learning
D00019,2026-07-09T184559Z_780688a_R000362,2026-07-09T184559Z_780688a_R000230,IEEE,10.1109/icad65464.2025.11114033,quantum diffusion models for few shot learning
D00019,2026-07-09T184559Z_780688a_R001849,2026-07-09T184559Z_780688a_R000230,IEEE,10.1109/icad65464.2025.11114033,quantum diffusion models for few shot learning
D00019,2026-07-09T184559Z_780688a_R003314,2026-07-09T184559Z_780688a_R000230,IEEE,10.1109/icad65464.2025.11114033,quantum diffusion models for few shot learning
D00019,2026-07-09T184559Z_780688a_R003455,2026-07-09T184559Z_780688a_R000230,IEEE,10.1109/icad65464.2025.11114033,quantum diffusion models for few shot learning
D00019,2026-07-09T184559Z_780688a_R003621,2026-07-09T184559Z_780688a_R000230,IEEE,10.1109/icad65464.2025.11114033,quantum diffusion models for few shot learning
D00019,2026-07-09T184559Z_780688a_R007390,2026-07-09T184559Z_780688a_R000230,Legacy arXiv notebook,,quantum diffusion models for few shot learning
D00020,2026-07-09T184559Z_780688a_R000020,2026-07-09T184559Z_780688a_R007412,arXiv,,nuclear transparency and shadowing of the two step process in the a e e reaction
D00020,2026-07-09T184559Z_780688a_R000049,2026-07-09T184559Z_780688a_R007412,arXiv,,nuclear transparency and shadowing of the two step process in the a e e reaction
D00020,2026-07-09T184559Z_780688a_R007412,2026-07-09T184559Z_780688a_R007412,Legacy arXiv notebook,,nuclear transparency and shadowing of the two step process in the a e e reaction
D00021,2026-07-09T184559Z_780688a_R000021,2026-07-09T184559Z_780688a_R007413,arXiv,10.1007/s13218-024-00858-5,towards efficient quantum hybrid diffusion models
D00021,2026-07-09T184559Z_780688a_R000050,2026-07-09T184559Z_780688a_R007413,arXiv,10.1007/s13218-024-00858-5,towards efficient quantum hybrid diffusion models
D00021,2026-07-09T184559Z_780688a_R003947,2026-07-09T184559Z_780688a_R007413,Springer,10.1007/s13218-024-00858-5,quantum hybrid diffusion models for image synthesis
D00021,2026-07-09T184559Z_780688a_R003959,2026-07-09T184559Z_780688a_R007413,Springer,10.1007/s13218-024-00858-5,quantum hybrid diffusion models for image synthesis
D00021,2026-07-09T184559Z_780688a_R004344,2026-07-09T184559Z_780688a_R007413,Springer,10.1007/s13218-024-00858-5,quantum hybrid diffusion models for image synthesis
D00021,2026-07-09T184559Z_780688a_R005436,2026-07-09T184559Z_780688a_R007413,Springer,10.1007/s13218-024-00858-5,quantum hybrid diffusion models for image synthesis
D00021,2026-07-09T184559Z_780688a_R007233,2026-07-09T184559Z_780688a_R007413,Springer,10.1007/s13218-024-00858-5,quantum hybrid diffusion models for image synthesis
D00021,2026-07-09T184559Z_780688a_R007413,2026-07-09T184559Z_780688a_R007413,Legacy arXiv notebook,10.1007/s13218-024-00858-5,towards efficient quantum hybrid diffusion models
D00022,2026-07-09T184559Z_780688a_R000022,2026-07-09T184559Z_780688a_R000167,arXiv,,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R000051,2026-07-09T184559Z_780688a_R000167,arXiv,,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R000066,2026-07-09T184559Z_780688a_R000167,arXiv,,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R000108,2026-07-09T184559Z_780688a_R000167,arXiv,,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R000121,2026-07-09T184559Z_780688a_R000167,arXiv,,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R000131,2026-07-09T184559Z_780688a_R000167,arXiv,,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R000167,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R000357,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R000557,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R001741,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R001789,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R002099,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R002548,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R002836,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R003189,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R003398,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R003565,2026-07-09T184559Z_780688a_R000167,IEEE,10.1109/qsw62656.2024.00023,quantum denoising diffusion models
D00022,2026-07-09T184559Z_780688a_R007366,2026-07-09T184559Z_780688a_R000167,Legacy arXiv notebook,,quantum denoising diffusion models
D00023,2026-07-09T184559Z_780688a_R000023,2026-07-09T184559Z_780688a_R007405,arXiv,,quantum diffusion models
D00023,2026-07-09T184559Z_780688a_R000052,2026-07-09T184559Z_780688a_R007405,arXiv,,quantum diffusion models
D00023,2026-07-09T184559Z_780688a_R000109,2026-07-09T184559Z_780688a_R007405,arXiv,,quantum diffusion models
D00023,2026-07-09T184559Z_780688a_R007405,2026-07-09T184559Z_780688a_R007405,Legacy arXiv notebook,,quantum diffusion models
D00024,2026-07-09T184559Z_780688a_R000024,2026-07-09T184559Z_780688a_R007414,arXiv,10.1103/physrevc.107.014605,color coherence effects in the reaction d p 2p n
D00024,2026-07-09T184559Z_780688a_R000053,2026-07-09T184559Z_780688a_R007414,arXiv,10.1103/physrevc.107.014605,color coherence effects in the reaction d p 2p n
D00024,2026-07-09T184559Z_780688a_R007414,2026-07-09T184559Z_780688a_R007414,Legacy arXiv notebook,10.1103/physrevc.107.014605,color coherence effects in the reaction d p 2p n
D00025,2026-07-09T184559Z_780688a_R000025,2026-07-09T184559Z_780688a_R007417,arXiv,10.3847/1538-4357/abf141,neutron tunneling a new mechanism to power explosive phenomena in neutron stars magnetars and neutron star mergers
D00025,2026-07-09T184559Z_780688a_R000054,2026-07-09T184559Z_780688a_R007417,arXiv,10.3847/1538-4357/abf141,neutron tunneling a new mechanism to power explosive phenomena in neutron stars magnetars and neutron star mergers
D00025,2026-07-09T184559Z_780688a_R007417,2026-07-09T184559Z_780688a_R007417,Legacy arXiv notebook,10.3847/1538-4357/abf141,neutron tunneling a new mechanism to power explosive phenomena in neutron stars magnetars and neutron star mergers
D00026,2026-07-09T184559Z_780688a_R000060,2026-07-09T184559Z_780688a_R007361,arXiv,10.15302/frontphys.2026.113201,identification of quantum generative circuits with parallel quantum neural network
D00026,2026-07-09T184559Z_780688a_R000135,2026-07-09T184559Z_780688a_R007361,arXiv,10.15302/frontphys.2026.113201,identification of quantum generative circuits with parallel quantum neural network
D00026,2026-07-09T184559Z_780688a_R007361,2026-07-09T184559Z_780688a_R007361,Legacy arXiv notebook,10.15302/frontphys.2026.113201,identification of quantum generative circuits with parallel quantum neural network
D00027,2026-07-09T184559Z_780688a_R000062,2026-07-09T184559Z_780688a_R007370,arXiv,,hierarchy of discriminative power and complexity in learning quantum ensembles
D00027,2026-07-09T184559Z_780688a_R000137,2026-07-09T184559Z_780688a_R007370,arXiv,,hierarchy of discriminative power and complexity in learning quantum ensembles
D00027,2026-07-09T184559Z_780688a_R007370,2026-07-09T184559Z_780688a_R007370,Legacy arXiv notebook,,hierarchy of discriminative power and complexity in learning quantum ensembles
D00028,2026-07-09T184559Z_780688a_R000064,2026-07-09T184559Z_780688a_R007373,arXiv,,conditioning in generative quantum denoising diffusion models
D00028,2026-07-09T184559Z_780688a_R000127,2026-07-09T184559Z_780688a_R007373,arXiv,,conditioning in generative quantum denoising diffusion models
D00028,2026-07-09T184559Z_780688a_R007373,2026-07-09T184559Z_780688a_R007373,Legacy arXiv notebook,,conditioning in generative quantum denoising diffusion models
D00029,2026-07-09T184559Z_780688a_R000065,2026-07-09T184559Z_780688a_R007355,arXiv,,mixed state quantum denoising diffusion probabilistic model
D00029,2026-07-09T184559Z_780688a_R000078,2026-07-09T184559Z_780688a_R007355,arXiv,,mixed state quantum denoising diffusion probabilistic model
D00029,2026-07-09T184559Z_780688a_R000089,2026-07-09T184559Z_780688a_R007355,arXiv,,mixed state quantum denoising diffusion probabilistic model
D00029,2026-07-09T184559Z_780688a_R000141,2026-07-09T184559Z_780688a_R007355,arXiv,,mixed state quantum denoising diffusion probabilistic model
D00029,2026-07-09T184559Z_780688a_R007355,2026-07-09T184559Z_780688a_R007355,Legacy arXiv notebook,,mixed state quantum denoising diffusion probabilistic model
D00030,2026-07-09T184559Z_780688a_R000067,2026-07-09T184559Z_780688a_R007359,arXiv,10.1103/physrevlett.132.100602,generative quantum machine learning via denoising diffusion probabilistic models
D00030,2026-07-09T184559Z_780688a_R000079,2026-07-09T184559Z_780688a_R007359,arXiv,10.1103/physrevlett.132.100602,generative quantum machine learning via denoising diffusion probabilistic models
D00030,2026-07-09T184559Z_780688a_R000090,2026-07-09T184559Z_780688a_R007359,arXiv,10.1103/physrevlett.132.100602,generative quantum machine learning via denoising diffusion probabilistic models
D00030,2026-07-09T184559Z_780688a_R000143,2026-07-09T184559Z_780688a_R007359,arXiv,10.1103/physrevlett.132.100602,generative quantum machine learning via denoising diffusion probabilistic models
D00030,2026-07-09T184559Z_780688a_R000147,2026-07-09T184559Z_780688a_R007359,arXiv,10.1103/physrevlett.132.100602,generative quantum machine learning via denoising diffusion probabilistic models
D00030,2026-07-09T184559Z_780688a_R007359,2026-07-09T184559Z_780688a_R007359,Legacy arXiv notebook,10.1103/physrevlett.132.100602,generative quantum machine learning via denoising diffusion probabilistic models
D00031,2026-07-09T184559Z_780688a_R000068,2026-07-09T184559Z_780688a_R007360,arXiv,,stochastic schrodinger diffusion models for pure state ensemble generation
D00031,2026-07-09T184559Z_780688a_R000124,2026-07-09T184559Z_780688a_R007360,arXiv,,stochastic schrodinger diffusion models for pure state ensemble generation
D00031,2026-07-09T184559Z_780688a_R007360,2026-07-09T184559Z_780688a_R007360,Legacy arXiv notebook,,stochastic schrodinger diffusion models for pure state ensemble generation
D00032,2026-07-09T184559Z_780688a_R000069,2026-07-09T184559Z_780688a_R007369,arXiv,,quantum fourier generative models trainable at large scale
D00032,2026-07-09T184559Z_780688a_R000080,2026-07-09T184559Z_780688a_R007369,arXiv,,quantum fourier generative models trainable at large scale
D00032,2026-07-09T184559Z_780688a_R000092,2026-07-09T184559Z_780688a_R007369,arXiv,,quantum fourier generative models trainable at large scale
D00032,2026-07-09T184559Z_780688a_R007369,2026-07-09T184559Z_780688a_R007369,Legacy arXiv notebook,,quantum fourier generative models trainable at large scale
D00033,2026-07-09T184559Z_780688a_R000070,2026-07-09T184559Z_780688a_R007374,arXiv,,learning and generating mixed states prepared by shallow channel circuits
D00033,2026-07-09T184559Z_780688a_R000081,2026-07-09T184559Z_780688a_R007374,arXiv,,learning and generating mixed states prepared by shallow channel circuits
D00033,2026-07-09T184559Z_780688a_R007374,2026-07-09T184559Z_780688a_R007374,Legacy arXiv notebook,,learning and generating mixed states prepared by shallow channel circuits
