record_id,arxiv_id,doi,year,title,decision,screening_category,exclusion_reason,in_automated_pool,notes
2026-07-09T184559Z_780688a_R007394,2505.22193,,2025,Physics-inspired Generative AI models via real hardware-based noisy quantum diffusion,included,CORE,,True,Noise-driven QDM on real hardware.
2026-07-09T184559Z_780688a_R007399,2508.08799,,2025,Measurement-Based Quantum Diffusion Models,included,CORE,,True,Measurement-based quantum diffusion.
2026-07-09T184559Z_780688a_R000169,2505.20863,10.1109/qce65121.2025.00180,2025,Leveraging Diffusion Models for Parameterized Quantum Circuit Generation,included,CORE,,True,Diffusion for parameterized quantum circuit generation (Barta).
2026-07-09T184559Z_780688a_R007407,2511.12221,,2025,Channel-Constrained Markovian Quantum Diffusion Model from Open System Perspective,included,CORE,,True,Open-system Markovian quantum diffusion (CCMQD).
2026-07-09T184559Z_780688a_R003988,2411.15973,10.1007/978-3-031-78395-1_23,2025,Enhancing Quantum Diffusion Models with Pairwise Bell State Entanglement,included,CORE,,True,Bell-state entanglement QDM.
2026-07-09T184559Z_780688a_R000170,2508.09903,10.1109/qce65121.2025.10364,2025,Hybrid Quantum-Classical Latent Diffusion Models for Medical Image Generation,included,CORE,,True,Hybrid latent QDM for medical imaging.
2026-07-09T184559Z_780688a_R000230,2411.04217,10.1109/icad65464.2025.11114033,2025,Quantum Diffusion Models for Few-Shot Learning,included,CORE,,True,QDM for few-shot learning.
2026-07-09T184559Z_780688a_R003768,2406.00843,10.1007/s42484-025-00276-2,2025,Diffusion-inspired quantum noise mitigation in parameterized quantum circuits,included,CORE,,True,Diffusion-inspired quantum noise mitigation in PQCs (QMI).
2026-07-09T184559Z_780688a_R007355,2411.17608,,2024,Mixed-State Quantum Denoising Diffusion Probabilistic Model,included,CORE,,True,Mixed-state QuDDPM (Kwun).
2026-07-09T184559Z_780688a_R007363,2407.12242,,2024,Conditional Diffusion-based Parameter Generation for Quantum Approximate Optimization Algorithm,included,CORE,,True,Conditional diffusion for QAOA parameter generation.
2026-07-09T184559Z_780688a_R000167,2401.07049,10.1109/qsw62656.2024.00023,2024,Quantum Denoising Diffusion Models,included,CORE,,True,Quantum Denoising Diffusion Models (Kolle).
2026-07-09T184559Z_780688a_R007396,2412.21082,,2024,Quantum Diffusion Model for Quark and Gluon Jet Generation,included,CORE,,True,QDM for quark/gluon jet generation.
2026-07-09T184559Z_780688a_R007413,2402.16147,10.1007/s13218-024-00858-5,2024,Towards Efficient Quantum Hybrid Diffusion Models,included,CORE,,True,Towards efficient quantum hybrid diffusion (De Falco).
2026-07-09T184559Z_780688a_R007380,2311.02041,10.1038/s42256-024-00831-9,2023,Quantum circuit synthesis with diffusion models,included,CORE,,True,"Quantum circuit synthesis with diffusion (genQC, Furrutter)."
2026-07-09T184559Z_780688a_R007397,2310.02511,,2023,Prepare Ansatz for VQE with Diffusion Model,included,CORE,,True,Diffusion model to prepare VQE ansatz.
2026-07-09T184559Z_780688a_R007405,2311.15444,,2023,Quantum Diffusion Models,included,CORE,,True,Quantum Diffusion Models (Cacioppo).
2026-07-09T184559Z_780688a_R003925,,10.1007/978-3-032-15931-1_4,2026,Quantum Diffusion Models for Few-Shot Learning,included,CORE,,True,QDM for few-shot learning (book chapter; possible duplicate of 2411.04217).
2026-07-09T184559Z_780688a_R007395,2501.11174,10.1007/s42484-024-00224-6,2025,Quantum Latent Diffusion Models,included,CORE,,True,"Quantum Latent Diffusion Models (De Falco, QMI)."
2026-07-09T184559Z_780688a_R000220,,10.1109/ijcnn64981.2025.11227283,2025,Hybrid and hardware-oriented approaches for quantum diffusion models,included,CORE,,True,Hybrid hardware-oriented quantum diffusion approaches.
2026-07-09T184559Z_780688a_R000368,,10.1109/igarss55030.2025.11242723,2025,Leveraging Quantum Latent Diffusion Models for Data Augmentation on The Eurosat Dataset,included,CORE,,True,Quantum latent diffusion for EuroSAT data augmentation.
2026-07-09T184559Z_780688a_R000157,,10.1109/qce60285.2024.10371,2024,Understanding of the Diffusion Noise in Quantum Latent Diffusion Model,included,CORE,,True,Analysis of diffusion noise in quantum latent diffusion.
2026-07-09T184559Z_780688a_R007359,2310.05866,10.1103/physrevlett.132.100602,2023,Generative quantum machine learning via denoising diffusion probabilistic models,included,CORE,,True,Generative QML via DDPM (Zhang QuDDPM; foundational).
